"code_muni","name_muni","pop_2019"
"110001","Alta Floresta D'Oeste",22945
"110037","Alto Alegre dos Parecis",13241
"110040","Alto Paraíso",21428
"110034","Alvorada D'Oeste",14411
"110002","Ariquemes",107863
"110045","Buritis",39654
"110003","Cabixi",5312
"110060","Cacaulândia",6230
"110004","Cacoal",85359
"110070","Campo Novo de Rondônia",14139
"110080","Candeias do Jamari",26693
"110090","Castanheiras",3052
"110005","Cerejeiras",16323
"110092","Chupinguaia",11182
"110006","Colorado do Oeste",15882
"110007","Corumbiara",7391
"110008","Costa Marques",18331
"110094","Cujubim",25215
"110009","Espigão D'Oeste",32374
"110100","Governador Jorge Teixeira",7767
"110010","Guajará-Mirim",46174
"110110","Itapuã do Oeste",10458
"110011","Jaru",51775
"110012","Ji-Paraná",128969
"110013","Machadinho D'Oeste",39991
"110120","Ministro Andreazza",9660
"110130","Mirante da Serra",10947
"110140","Monte Negro",15852
"110014","Nova Brasilândia D'Oeste",20474
"110033","Nova Mamoré",30583
"110143","Nova União",6970
"110050","Novo Horizonte do Oeste",8538
"110015","Ouro Preto do Oeste",36035
"110145","Parecis",6074
"110018","Pimenta Bueno",36660
"110146","Pimenteiras do Oeste",2169
"110020","Porto Velho",529544
"110025","Presidente Médici",18986
"110147","Primavera de Rondônia",2856
"110026","Rio Crespo",3764
"110028","Rolim de Moura",55058
"110029","Santa Luzia D'Oeste",6495
"110148","São Felipe D'Oeste",5172
"110149","São Francisco do Guaporé",20266
"110032","São Miguel do Guaporé",23005
"110150","Seringueiras",11856
"110155","Teixeirópolis",4308
"110160","Theobroma",10444
"110170","Urupá",11467
"110175","Vale do Anari",11204
"110180","Vale do Paraíso",6825
"110030","Vilhena",99854
"120001","Acrelândia",15256
"120005","Assis Brasil",7417
"120010","Brasiléia",26278
"120013","Bujari",10266
"120017","Capixaba",11733
"120020","Cruzeiro do Sul",88376
"120025","Epitaciolândia",18411
"120030","Feijó",34780
"120032","Jordão",8317
"120033","Mâncio Lima",18977
"120034","Manoel Urbano",9459
"120035","Marechal Thaumaturgo",18867
"120038","Plácido de Castro",19761
"120080","Porto Acre",18504
"120039","Porto Walter",11982
"120040","Rio Branco",407319
"120042","Rodrigues Alves",18930
"120043","Santa Rosa do Purus",6540
"120050","Sena Madureira",45848
"120045","Senador Guiomard",23024
"120060","Tarauacá",42567
"120070","Xapuri",19323
"130002","Alvarães",16041
"130006","Amaturá",11536
"130008","Anamã",13614
"130010","Anori",21010
"130014","Apuí",21973
"130020","Atalaia do Norte",19921
"130030","Autazes",39565
"130040","Barcelos",27502
"130050","Barreirinha",32041
"130060","Benjamin Constant",42984
"130063","Beruri",19679
"130068","Boa Vista do Ramos",19207
"130070","Boca do Acre",34308
"130080","Borba",41161
"130083","Caapiranga",13081
"130090","Canutama",15629
"130100","Carauari",28294
"130110","Careiro",37869
"130115","Careiro da Várzea",30225
"130120","Coari",85097
"130130","Codajás",28637
"130140","Eirunepé",35273
"130150","Envira",20033
"130160","Fonte Boa",17609
"130165","Guajará",16678
"130170","Humaitá",55080
"130180","Ipixuna",29689
"130185","Iranduba",48296
"130190","Itacoatiara",101337
"130195","Itamarati",7851
"130200","Itapiranga",9148
"130210","Japurá",2755
"130220","Juruá",14712
"130230","Jutaí",14317
"130240","Lábrea",46069
"130250","Manacapuru",97377
"130255","Manaquiri",32105
"130260","Manaus",2182763
"130270","Manicoré",55751
"130280","Maraã",18224
"130290","Maués",63905
"130300","Nhamundá",21173
"130310","Nova Olinda do Norte",37378
"130320","Novo Airão",19454
"130330","Novo Aripuanã",25644
"130340","Parintins",114273
"130350","Pauini",19426
"130353","Presidente Figueiredo",36279
"130356","Rio Preto da Eva",33347
"130360","Santa Isabel do Rio Negro",25156
"130370","Santo Antônio do Içá",21602
"130380","São Gabriel da Cachoeira",45564
"130390","São Paulo de Olivença",39299
"130395","São Sebastião do Uatumã",14020
"130400","Silves",9171
"130406","Tabatinga",65844
"130410","Tapauá",17156
"130420","Tefé",59849
"130423","Tonantins",18755
"130426","Uarini",13540
"130430","Urucará",16256
"130440","Urucurituba",23065
"140005","Alto Alegre",15510
"140002","Amajari",12796
"140010","Boa Vista",399213
"140015","Bonfim",12409
"140017","Cantá",18335
"140020","Caracaraí",21926
"140023","Caroebe",10169
"140028","Iracema",11950
"140030","Mucajaí",17853
"140040","Normandia",11290
"140045","Pacaraima",17401
"140047","Rorainópolis",30163
"140050","São João da Baliza",8201
"140060","São Luiz",7986
"140070","Uiramutã",10559
"150010","Abaetetuba",157698
"150013","Abel Figueiredo",7434
"150020","Acará",55591
"150030","Afuá",39218
"150034","Água Azul do Norte",27430
"150040","Alenquer",56789
"150050","Almeirim",34109
"150060","Altamira",114594
"150070","Anajás",29277
"150080","Ananindeua",530598
"150085","Anapu",27890
"150090","Augusto Corrêa",45998
"150095","Aurora do Pará",31338
"150100","Aveiro",16388
"150110","Bagre",30673
"150120","Baião",47446
"150125","Bannach",3286
"150130","Barcarena",124680
"150140","Belém",1492745
"150145","Belterra",17732
"150150","Benevides",62737
"150157","Bom Jesus do Tocantins",16981
"150160","Bonito",16286
"150170","Bragança",127686
"150172","Brasil Novo",15086
"150175","Brejo Grande do Araguaia",7380
"150178","Breu Branco",66046
"150180","Breves",102701
"150190","Bujaru",29132
"150200","Cachoeira do Arari",23767
"150195","Cachoeira do Piriá",33900
"150210","Cametá",137890
"150215","Canaã dos Carajás",37085
"150220","Capanema",69027
"150230","Capitão Poço",54303
"150240","Castanhal",200793
"150250","Chaves",23717
"150260","Colares",12085
"150270","Conceição do Araguaia",47864
"150275","Concórdia do Pará",33318
"150276","Cumaru do Norte",13473
"150277","Curionópolis",17929
"150280","Curralinho",34448
"150285","Curuá",14393
"150290","Curuçá",40066
"150293","Dom Eliseu",59719
"150295","Eldorado do Carajás",33808
"150300","Faro",7194
"150304","Floresta do Araguaia",20304
"150307","Garrafão do Norte",26066
"150309","Goianésia do Pará",40475
"150310","Gurupá",33376
"150320","Igarapé-Açu",38807
"150330","Igarapé-Miri",62698
"150340","Inhangapi",11711
"150345","Ipixuna do Pará",64053
"150350","Irituia",32550
"150360","Itaituba",101247
"150370","Itupiranga",53269
"150375","Jacareacanga",8239
"150380","Jacundá",59155
"150390","Juruti",57943
"150400","Limoeiro do Ajuru",28935
"150405","Mãe do Rio",30077
"150410","Magalhães Barata",8548
"150420","Marabá",279349
"150430","Maracanã",29473
"150440","Marapanim",28336
"150442","Marituba",131521
"150445","Medicilândia",31597
"150450","Melgaço",27654
"150460","Mocajuba",31136
"150470","Moju",82094
"150475","Mojuí dos Campos",16084
"150480","Monte Alegre",58032
"150490","Muaná",40349
"150495","Nova Esperança do Piriá",21368
"150497","Nova Ipixuna",16678
"150500","Nova Timboteua",15363
"150503","Novo Progresso",25762
"150506","Novo Repartimento",75919
"150510","Óbidos",52137
"150520","Oeiras do Pará",32512
"150530","Oriximiná",73096
"150540","Ourém",17842
"150543","Ourilândia do Norte",32832
"150548","Pacajá",47706
"150549","Palestina do Pará",7589
"150550","Paragominas",113145
"150553","Parauapebas",208273
"150555","Pau D'Arco",5483
"150560","Peixe-Boi",8077
